city,district,sector,urban_level,market_access_score,competition_index,location_cost_index,business_main_group,business_subgroup,business_age_years,monthly_revenue,monthly_expenses,net_profit_margin,current_assets_value,current_liabilities_value,requested_loan_amount,desired_repayment_period_months,credit_score,existing_loans,repayment_history_score,seasonality_factor,economic_outlook_index,interest_rate_environment,loan_purpose,cash_flow_stability_score,ownership_type,business_stage,business_risk_level,preferred_funding_partner,expected_roi_percentage,predicted_profit_from_loan,total_repayment_amount,net_gain_or_loss
Nyagatare,Rukomo,Rukomo I,Rural,7,4,6,Automotive,Motorcycle Repair,5,3459167,2728204,0.21,3246404,340286,17068542,24,551,4,76,Yes,0.91,13.0,Tech Adoption,58,Partnership,Growth,Medium,BRD,25,4267135.5,19287452.46,2048225.04
Kigali,Nyarugenge,Kimisagara,Urban,6,2,5,Manufacturing,Textile Production,5,769493,411116,0.47,4989877,915673,18618125,18,756,2,20,Yes,0.86,15.0,Tech Adoption,72,Cooperative,Mature,Medium,BRD,41,7633431.25,21410843.75,4840712.5
Huye,Tumba,Tumba Village,Peri-Urban,10,4,4,Agriculture,Maize Farming,13,1198239,442498,0.63,4540330,582732,4804149,12,380,4,29,No,0.69,13.0,Expansion,40,Sole Proprietorship,Mature,High,SACCO,41,1969701.09,5428688.37,1345161.72
Rubavu,Kanama,Kanama Centre,Urban,9,3,3,Automotive,Garage Services,10,2942247,1163395,0.6,9811344,1429990,16008538,18,541,5,73,Yes,0.95,13.0,Expansion,77,Cooperative,Mature,Medium,BRD,44,7043756.72,18089647.94,4962646.78
Nyagatare,Rukomo,Rukomo II,Rural,9,7,8,Manufacturing,Furniture Making,7,4572994,1597061,0.65,5441906,1829948,17283658,6,619,3,21,Yes,-0.51,14.0,Tech Adoption,70,Partnership,Mature,Low,Bank of Kigali,8,1382692.64,19703370.12,-1037019.48
Huye,Tumba,Tumba Village,Peri-Urban,7,7,8,Services,Laundry Service,6,4076025,909614,0.78,4864874,821123,10249084,18,441,1,55,Yes,0.25,15.0,Inventory,56,Partnership,Mature,Medium,BRD,47,4817069.48,11786446.6,3279706.88
Nyagatare,Karangazi,Rwimiyaga,Rural,6,3,7,Services,Laundry Service,11,2041265,1278847,0.37,3101739,1875747,9770896,36,377,0,36,Yes,-0.31,15.0,Inventory,55,Sole Proprietorship,Declining,High,VisionFund,50,4885448.0,11236530.4,3419813.6
Musanze,Muhoza,Ruhengeri,Peri-Urban,10,2,9,Services,Salon,17,1778378,770608,0.57,2914279,328513,6516778,12,557,0,37,No,-0.54,12.5,Tech Adoption,56,Cooperative,Growth,Low,Equity Bank,29,1889865.62,7331375.25,1075268.37
Kigali,Nyarugenge,Nyamirambo,Urban,7,4,8,Retail,Beans Shop,4,1643804,571390,0.65,201617,8462,15137340,6,367,2,34,Yes,0.46,15.0,Tech Adoption,14,Cooperative,Growth,High,VisionFund,16,2421974.4,17407941.0,151373.4
Nyagatare,Rukomo,Rukomo II,Rural,10,2,4,Services,Salon,4,857502,209830,0.76,6617232,1609386,9326266,6,826,2,34,Yes,0.13,14.0,Expansion,11,Cooperative,Early Stage,Medium,VisionFund,46,4290082.36,10631943.24,2984405.12
Musanze,Busogo,Busogo II,Peri-Urban,7,5,7,Retail,Clothing Shop,6,381971,176755,0.54,6897845,1819883,2728500,18,834,5,99,Yes,0.58,15.0,Tech Adoption,30,Sole Proprietorship,Growth,High,VisionFund,7,190995.0,3137775.0,-218280.0
Kigali,Nyarugenge,Kimisagara,Urban,6,7,5,Automotive,Car Wash,1,3415106,3197618,0.06,4894499,917692,14646345,6,572,5,38,Yes,0.36,15.0,Inventory,67,Cooperative,Growth,Medium,VisionFund,27,3954513.15,16843296.75,1757561.4
Nyagatare,Rukomo,Rukomo I,Rural,7,9,8,Agriculture,Agri Supplies,2,1659775,881732,0.47,6230055,1451526,18325310,6,440,4,83,Yes,-0.7,12.5,Equipment Purchase,84,Cooperative,Mature,High,SACCO,12,2199037.2,20615973.75,-91626.55
Rubavu,Kanama,Nyundo,Urban,9,1,7,Retail,Beans Shop,7,2597615,1576795,0.39,438711,101570,4899076,24,487,2,0,No,0.48,12.5,Equipment Purchase,21,Cooperative,Growth,Low,Bank of Kigali,7,342935.32,5511460.5,-269449.18
Nyagatare,Karangazi,Karangazi Centre,Rural,7,4,8,Automotive,Garage Services,5,2996862,1982737,0.34,5061755,1729974,1224917,24,383,2,75,No,0.34,14.0,Inventory,17,Partnership,Mature,High,VisionFund,21,257232.57,1396405.38,85744.19
Rubavu,Kanama,Nyundo,Urban,8,6,8,Retail,Electronics Store,1,3300178,707986,0.79,8772091,481173,10257065,24,792,5,43,Yes,0.69,14.0,Tech Adoption,56,Partnership,Mature,High,VisionFund,28,2871978.2,11693054.1,1435989.1
Kigali,Kicukiro,Kicukiro Centre,Urban,4,6,7,Services,Repair Workshop,13,4652354,1471085,0.68,5423989,1677080,16725229,12,716,1,19,No,0.66,14.0,Equipment Purchase,98,Cooperative,Early Stage,Low,Equity Bank,45,7526353.05,19066761.06,5184820.99
Musanze,Muhoza,Ruhengeri,Peri-Urban,5,2,5,Manufacturing,Metal Works,12,1264636,813559,0.36,1041693,608716,13899177,24,783,4,74,No,-0.87,13.0,Equipment Purchase,37,Partnership,Declining,Low,Equity Bank,40,5559670.8,15706070.01,3752777.79
Kigali,Gasabo,Remera,Urban,4,9,6,Retail,Clothing Shop,11,4190950,2173839,0.48,3967216,350175,15974536,18,677,4,44,No,0.91,15.0,Expansion,44,Partnership,Early Stage,Medium,VisionFund,8,1277962.88,18370716.4,-1118217.52
Huye,Tumba,Tumba Village,Peri-Urban,9,7,3,Retail,Food Market,4,1094272,312159,0.71,7887817,1240797,15102324,24,677,1,98,No,-0.32,13.0,Tech Adoption,19,Sole Proprietorship,Growth,High,SACCO,12,1812278.88,17065626.12,-151023.24
Kigali,Kicukiro,Gatenga,Urban,6,8,6,Manufacturing,Textile Production,20,3609847,1919997,0.47,5455022,1972103,6000297,12,759,0,81,Yes,-0.22,15.0,Inventory,59,Sole Proprietorship,Growth,High,SACCO,15,900044.55,6900341.55,0.0
Huye,Ngoma,Ngoma Centre,Peri-Urban,7,7,6,Retail,Food Market,10,1201859,621696,0.48,5287396,180927,18692926,36,588,4,2,No,0.26,14.0,Tech Adoption,21,Cooperative,Declining,High,VisionFund,21,3925514.46,21309935.64,1308504.82
Musanze,Busogo,Busogo I,Peri-Urban,9,7,7,Retail,Beans Shop,3,2323261,2143275,0.08,4696918,517834,12883110,6,446,0,68,No,-0.74,12.5,Inventory,71,Cooperative,Early Stage,High,SACCO,13,1674804.3,14493498.75,64415.55
Kigali,Gasabo,Kimironko,Urban,8,10,4,Automotive,Car Wash,8,2552375,64925,0.97,7103748,1654371,6914228,12,792,0,37,No,0.51,14.0,Equipment Purchase,43,Cooperative,Mature,Medium,VisionFund,42,2903975.76,7882219.92,1935983.84
Musanze,Busogo,Busogo II,Peri-Urban,9,3,5,Services,Salon,3,1782093,1237846,0.31,6895510,654552,15110233,18,837,0,52,No,0.4,15.0,Expansion,68,Sole Proprietorship,Growth,High,VisionFund,18,2719841.94,17376767.95,453306.99
Musanze,Busogo,Busogo II,Peri-Urban,7,9,8,Services,Photocopy Center,2,4548354,3391504,0.25,6430133,1765291,16659535,24,823,0,76,No,-0.6,15.0,Tech Adoption,92,Partnership,Early Stage,Low,Equity Bank,9,1499358.15,19158465.25,-999572.1
Rubavu,Gisenyi,Rubavu,Urban,5,5,5,Services,Photocopy Center,5,1625584,673769,0.59,2978639,243429,14335177,18,606,0,63,No,-0.06,15.0,Equipment Purchase,20,Cooperative,Early Stage,High,VisionFund,49,7024236.73,16485453.55,4873960.18
Huye,Tumba,Cyarwa,Peri-Urban,10,4,9,Retail,Beans Shop,2,4623969,4550161,0.02,8867247,1360368,14236736,36,566,2,49,No,0.62,13.0,Tech Adoption,97,Cooperative,Early Stage,High,VisionFund,20,2847347.2,16087511.68,996571.52
Rubavu,Gisenyi,Rubavu,Urban,7,3,5,Manufacturing,Metal Works,2,4519026,1512229,0.67,1784631,1165219,14561768,36,623,1,33,Yes,0.93,15.0,Tech Adoption,80,Sole Proprietorship,Early Stage,Low,Bank of Kigali,36,5242236.48,16746033.2,3057971.28
Nyagatare,Karangazi,Karangazi Centre,Rural,8,5,7,Agriculture,Agri Supplies,9,536875,84292,0.84,4777101,57551,13785355,12,701,1,30,No,-0.77,13.0,Expansion,7,Cooperative,Growth,High,SACCO,41,5651995.55,15577451.15,3859899.4
Kigali,Gasabo,Kimironko,Urban,5,9,4,Retail,Clothing Shop,18,844917,359594,0.57,6666616,375761,1953866,24,600,1,88,No,0.19,13.0,Equipment Purchase,52,Partnership,Growth,Low,Bank of Kigali,31,605698.46,2207868.58,351695.88
Musanze,Busogo,Busogo I,Peri-Urban,6,7,9,Agriculture,Pig Farming,7,4991999,1794427,0.64,7954104,1353940,17108389,12,312,2,8,Yes,-0.01,12.5,Equipment Purchase,43,Sole Proprietorship,Mature,Medium,Equity Bank,37,6330103.93,19246937.62,4191555.31
Musanze,Muhoza,Ruhengeri,Peri-Urban,10,1,6,Manufacturing,Bakery,17,1762045,71198,0.96,1866035,1689279,10392999,18,433,3,21,No,-0.19,14.0,Inventory,88,Sole Proprietorship,Declining,Low,Equity Bank,30,3117899.7,11848018.86,1662879.84
Rubavu,Kanama,Nyundo,Urban,5,2,8,Manufacturing,Textile Production,11,2232369,526107,0.76,2473110,1683099,10088282,36,562,1,34,No,-0.37,15.0,Equipment Purchase,98,Sole Proprietorship,Growth,Low,Bank of Kigali,17,1715007.94,11601524.3,201765.64
Huye,Ngoma,Ngoma Centre,Peri-Urban,7,2,3,Services,Laundry Service,4,801703,794799,0.01,6438887,1229394,1158788,36,568,4,51,Yes,-0.22,13.0,Expansion,61,Cooperative,Declining,Medium,Equity Bank,33,382400.04,1309430.44,231757.6
Kigali,Nyarugenge,Nyamirambo,Urban,5,7,3,Manufacturing,Bakery,10,2153461,1099791,0.49,6295211,1533269,19305636,12,495,4,46,No,0.24,13.0,Equipment Purchase,77,Sole Proprietorship,Early Stage,Medium,BRD,11,2123619.96,21815368.68,-386112.72
Kigali,Gasabo,Kimironko,Urban,6,3,6,Automotive,Motorcycle Repair,0,2924716,2320248,0.21,7176685,6490,5974403,24,355,5,55,No,-0.27,12.5,Tech Adoption,54,Sole Proprietorship,Growth,Medium,VisionFund,11,657184.33,6721203.38,-89616.05
Musanze,Busogo,Busogo I,Peri-Urban,9,9,7,Agriculture,Agri Supplies,5,444438,423901,0.05,7267996,645868,10726161,6,305,3,51,No,0.21,14.0,Equipment Purchase,8,Sole Proprietorship,Early Stage,Low,Equity Bank,34,3646894.74,12227823.54,2145232.2
Kigali,Nyarugenge,Nyamirambo,Urban,4,6,4,Automotive,Spare Parts Shop,19,1003581,653514,0.35,2979977,758745,19207638,12,411,4,64,Yes,0.61,14.0,Expansion,57,Partnership,Mature,Low,Bank of Kigali,27,5186062.26,21896707.32,2496992.94
Nyagatare,Rukomo,Rukomo I,Rural,10,8,5,Retail,Clothing Shop,7,586793,456083,0.22,6301588,1478439,16376542,6,341,4,1,No,-0.5,12.5,Tech Adoption,40,Cooperative,Declining,Medium,BRD,44,7205678.48,18423609.75,5158610.73
Rubavu,Kanama,Nyundo,Urban,7,4,8,Services,Repair Workshop,4,3099206,1920099,0.38,6597604,1247830,10353720,24,721,2,82,Yes,-0.2,15.0,Equipment Purchase,76,Partnership,Declining,Low,Bank of Kigali,47,4866248.4,11906778.0,3313190.4
Huye,Ngoma,Ngoma Centre,Peri-Urban,5,9,7,Automotive,Garage Services,10,485106,417845,0.14,6451573,702483,5295965,18,811,4,36,No,-0.84,13.0,Expansion,45,Cooperative,Declining,High,SACCO,14,741435.1,5984440.45,52959.65
Nyagatare,Rukomo,Rukomo II,Rural,10,1,4,Manufacturing,Soap Making,12,4767799,1185616,0.75,5488696,1103686,12935527,6,659,2,38,Yes,0.32,12.5,Equipment Purchase,33,Cooperative,Early Stage,Low,Equity Bank,46,5950342.42,14552467.88,4333401.54
Nyagatare,Rukomo,Rukomo I,Rural,7,10,5,Automotive,Tire Center,6,991465,236465,0.76,4371102,1815753,16237365,36,513,5,35,Yes,-0.17,15.0,Inventory,4,Cooperative,Growth,Medium,Equity Bank,41,6657319.65,18672969.75,4221714.9
Kigali,Kicukiro,Kicukiro Centre,Urban,10,8,7,Retail,Mini Supermarket,17,4443718,3660965,0.18,5895214,886842,8414479,18,717,0,50,No,-0.56,15.0,Tech Adoption,35,Cooperative,Declining,Low,Equity Bank,10,841447.9,9676650.85,-420723.95
Kigali,Gasabo,Remera,Urban,5,6,7,Manufacturing,Bakery,16,963818,816745,0.15,5939824,1602455,19228315,24,811,4,25,Yes,-0.7,15.0,Inventory,37,Partnership,Mature,High,VisionFund,26,4999361.9,22112562.25,2115114.65
Huye,Tumba,Tumba Village,Peri-Urban,9,6,9,Automotive,Motorcycle Repair,9,4079342,403959,0.9,1732644,1683751,17223966,18,332,0,5,Yes,0.93,12.5,Equipment Purchase,4,Partnership,Early Stage,High,VisionFund,33,5683908.78,19376961.75,3530913.03
Nyagatare,Karangazi,Karangazi Centre,Rural,4,10,8,Services,Photocopy Center,11,4643190,2857727,0.38,3732669,1051793,14954811,6,564,2,78,Yes,0.05,14.0,Tech Adoption,12,Cooperative,Early Stage,High,SACCO,8,1196384.88,17048484.54,-897288.66
Huye,Tumba,Tumba Village,Peri-Urban,7,6,5,Agriculture,Bee Keeping,16,4119052,4034994,0.02,2568265,300376,10689126,36,565,3,50,No,0.8,15.0,Equipment Purchase,72,Sole Proprietorship,Growth,High,VisionFund,16,1710260.16,12292494.9,106891.26
Rubavu,Gisenyi,Rubavu,Urban,5,9,4,Services,Internet Cafe,15,701969,474352,0.32,5735353,1083604,4109004,24,528,0,31,Yes,0.38,14.0,Tech Adoption,60,Partnership,Declining,Medium,BRD,29,1191611.16,4684264.56,616350.6
Huye,Ngoma,Butare,Peri-Urban,8,2,3,Retail,Beans Shop,16,3242391,1944712,0.4,4342990,1469865,12570208,18,671,1,69,Yes,0.69,14.0,Inventory,57,Partnership,Early Stage,High,SACCO,48,6033699.84,14330037.12,4273870.72
Rubavu,Kanama,Kanama Centre,Urban,4,9,5,Agriculture,Bee Keeping,15,2982027,1443137,0.52,6019918,127243,6209853,18,664,1,53,Yes,0.39,12.5,Expansion,39,Partnership,Early Stage,High,VisionFund,50,3104926.5,6986084.62,2328694.88
Huye,Tumba,Tumba Village,Peri-Urban,8,2,3,Manufacturing,Bakery,12,4857862,795688,0.84,6783291,1205009,942216,6,313,2,36,Yes,0.6,13.0,Equipment Purchase,90,Partnership,Early Stage,Low,Bank of Kigali,49,461685.84,1064704.08,339197.76
Nyagatare,Karangazi,Karangazi Centre,Rural,7,7,5,Automotive,Motorcycle Repair,0,4106138,2623285,0.36,5512910,1752090,11231144,36,318,3,32,No,-0.05,13.0,Inventory,64,Sole Proprietorship,Mature,Medium,VisionFund,38,4267834.72,12691192.72,2807786.0
Nyagatare,Karangazi,Rwimiyaga,Rural,10,1,3,Services,Salon,14,3178976,733541,0.77,3351822,840711,3015597,36,801,4,41,Yes,0.95,12.5,Expansion,95,Sole Proprietorship,Growth,Medium,BRD,23,693587.31,3392546.62,316637.69
Huye,Ngoma,Butare,Peri-Urban,5,4,5,Manufacturing,Furniture Making,14,1105733,1072217,0.03,1899683,1851722,2517003,6,421,5,51,No,1.0,12.5,Equipment Purchase,26,Cooperative,Declining,High,SACCO,34,855781.02,2831628.38,541155.64
Musanze,Busogo,Busogo II,Peri-Urban,7,2,8,Services,Photocopy Center,1,2182106,1972225,0.1,3301485,1228565,12264418,36,731,2,92,No,0.32,15.0,Tech Adoption,87,Cooperative,Growth,High,VisionFund,25,3066104.5,14104080.7,1226441.8
Kigali,Gasabo,Kimironko,Urban,4,3,5,Retail,Electronics Store,10,622902,276505,0.56,1695480,1748740,8122028,18,479,3,66,No,-0.88,13.0,Equipment Purchase,21,Sole Proprietorship,Growth,Low,Bank of Kigali,28,2274167.84,9177891.64,1218304.2
Huye,Tumba,Tumba Village,Peri-Urban,10,4,6,Manufacturing,Bakery,19,3942741,210860,0.95,4450659,938232,13999966,12,596,1,30,No,0.18,15.0,Expansion,16,Cooperative,Early Stage,Medium,Equity Bank,29,4059990.14,16099960.9,1959995.24
Kigali,Nyarugenge,Nyamirambo,Urban,5,9,9,Retail,Food Market,11,4664973,3479524,0.25,6320326,1965919,13129129,12,658,5,1,No,-0.23,12.5,Inventory,83,Cooperative,Declining,Medium,Equity Bank,32,4201321.28,14770270.12,2560180.16
Rubavu,Kanama,Nyundo,Urban,4,4,6,Manufacturing,Furniture Making,14,1222673,727653,0.4,1026190,20602,18036842,6,761,0,28,Yes,0.11,13.0,Inventory,50,Partnership,Growth,High,VisionFund,45,8116578.9,20381631.46,5771789.44
Nyagatare,Karangazi,Rwimiyaga,Rural,9,6,6,Automotive,Spare Parts Shop,13,3524356,1987918,0.44,3042724,1068597,19980763,24,565,2,76,No,0.66,12.5,Inventory,62,Cooperative,Mature,Low,BRD,6,1198845.78,22478358.38,-1298749.6
Musanze,Busogo,Busogo I,Peri-Urban,8,8,6,Agriculture,Agri Supplies,14,3880504,2748484,0.29,7516789,1129108,18626433,18,709,0,56,No,-0.01,14.0,Tech Adoption,92,Cooperative,Growth,Medium,BRD,13,2421436.29,21234133.62,-186264.33
Kigali,Gasabo,Remera,Urban,9,1,3,Manufacturing,Soap Making,11,4064919,296181,0.93,1935568,1513517,5881640,12,303,5,4,No,0.73,12.5,Inventory,34,Cooperative,Declining,Medium,BRD,15,882246.0,6616845.0,147041.0
Kigali,Kicukiro,Kicukiro Centre,Urban,6,2,7,Automotive,Garage Services,15,3092583,1722240,0.44,8993984,134541,11159990,18,758,2,18,No,0.86,12.5,Inventory,63,Cooperative,Growth,Medium,Equity Bank,7,781199.3,12554988.75,-613799.45
Musanze,Busogo,Busogo II,Peri-Urban,10,6,7,Agriculture,Bee Keeping,17,2918120,1205099,0.59,2087754,1389285,14754579,18,448,4,61,Yes,0.05,13.0,Inventory,18,Partnership,Growth,Low,Bank of Kigali,9,1327912.11,16672674.27,-590183.16
Musanze,Muhoza,Ruhengeri,Peri-Urban,8,7,7,Manufacturing,Bakery,18,4548692,235309,0.95,7885750,1098323,5330616,6,587,3,58,No,-0.93,12.5,Expansion,99,Sole Proprietorship,Mature,Low,Bank of Kigali,49,2612001.84,5996943.0,1945674.84
Kigali,Kicukiro,Kicukiro Centre,Urban,6,6,6,Retail,Electronics Store,8,4007451,149514,0.96,7765757,96588,11938204,12,512,2,34,No,-0.55,13.0,Expansion,10,Sole Proprietorship,Growth,Low,BRD,9,1074438.36,13490170.52,-477528.16
Nyagatare,Rukomo,Rukomo I,Rural,8,10,4,Agriculture,Pig Farming,12,3485500,1838908,0.47,3339697,1533735,6129010,24,348,2,22,No,0.16,13.0,Tech Adoption,96,Partnership,Growth,Medium,Equity Bank,49,3003214.9,6925781.3,2206443.6
Kigali,Nyarugenge,Nyamirambo,Urban,4,3,6,Agriculture,Maize Farming,12,2720714,1415183,0.48,8145775,726007,796427,12,681,4,85,Yes,-0.05,15.0,Tech Adoption,85,Cooperative,Early Stage,Medium,VisionFund,46,366356.42,915891.05,246892.37
Nyagatare,Rukomo,Rukomo I,Rural,9,8,8,Services,Internet Cafe,6,4680279,4294455,0.08,2986268,1039602,7488143,24,655,0,12,No,0.19,14.0,Expansion,86,Partnership,Declining,High,SACCO,40,2995257.2,8536483.02,1946917.18
Musanze,Busogo,Busogo II,Peri-Urban,8,1,6,Manufacturing,Soap Making,9,449566,83558,0.81,4813296,1204930,15420684,6,407,4,96,Yes,0.78,15.0,Tech Adoption,29,Sole Proprietorship,Declining,Medium,BRD,41,6322480.44,17733786.6,4009377.84
Musanze,Muhoza,Muhoza Centre,Peri-Urban,10,5,4,Automotive,Tire Center,13,2882143,2641118,0.08,7431908,136020,5141085,36,586,1,74,Yes,-0.78,12.5,Inventory,34,Sole Proprietorship,Mature,Low,BRD,34,1747968.9,5783720.62,1105333.28
Rubavu,Kanama,Kanama Centre,Urban,4,4,6,Agriculture,Coffee Growing,17,2594037,2132631,0.18,9841666,1717170,12677500,6,804,4,10,Yes,0.82,15.0,Expansion,36,Partnership,Early Stage,Medium,VisionFund,13,1648075.0,14579125.0,-253550.0
Kigali,Gasabo,Kimironko,Urban,4,9,6,Automotive,Garage Services,1,3790479,3738382,0.01,9672101,1216816,19348479,24,687,2,79,No,-0.86,13.0,Inventory,89,Partnership,Early Stage,Medium,Equity Bank,29,5611058.91,21863781.27,3095756.64
Rubavu,Kanama,Nyundo,Urban,5,3,9,Retail,Food Market,9,2221919,1643169,0.26,4757432,548503,17651318,36,725,0,44,No,-0.48,14.0,Tech Adoption,76,Partnership,Growth,Medium,Equity Bank,20,3530263.6,20122502.52,1059079.08
Musanze,Busogo,Busogo II,Peri-Urban,6,8,7,Automotive,Motorcycle Repair,12,2631814,1126250,0.57,7053892,1940325,5485061,12,819,0,45,No,0.2,14.0,Equipment Purchase,72,Sole Proprietorship,Declining,High,VisionFund,40,2194024.4,6252969.54,1426115.86
Nyagatare,Karangazi,Karangazi Centre,Rural,8,7,9,Automotive,Spare Parts Shop,5,4142345,1173715,0.72,8983074,891386,11821255,36,733,1,77,No,-0.74,14.0,Inventory,10,Cooperative,Early Stage,High,VisionFund,48,5674202.4,13476230.7,4019226.7
Nyagatare,Karangazi,Rwimiyaga,Rural,5,4,4,Agriculture,Agri Supplies,18,1609620,374825,0.77,6279644,1987966,7978796,12,735,1,44,Yes,0.55,14.0,Tech Adoption,1,Cooperative,Early Stage,High,SACCO,21,1675547.16,9095827.44,558515.72
Kigali,Nyarugenge,Kimisagara,Urban,9,3,3,Manufacturing,Bakery,10,4412221,4117411,0.07,308589,1965186,3026321,12,839,0,49,No,-0.31,12.5,Equipment Purchase,61,Sole Proprietorship,Growth,Low,Bank of Kigali,27,817106.67,3404611.12,438816.55
Huye,Tumba,Cyarwa,Peri-Urban,10,2,6,Manufacturing,Soap Making,11,4478588,1383053,0.69,380014,523592,5870849,24,379,5,92,Yes,-0.0,12.5,Inventory,17,Cooperative,Declining,Low,Equity Bank,25,1467712.25,6604705.12,733856.13
Musanze,Muhoza,Muhoza Centre,Peri-Urban,6,10,5,Services,Photocopy Center,6,758642,568071,0.25,8925201,1458368,1022177,36,672,4,15,Yes,-0.46,15.0,Inventory,87,Sole Proprietorship,Declining,Medium,VisionFund,43,439536.11,1175503.55,286209.56
Nyagatare,Karangazi,Karangazi Centre,Rural,5,3,6,Services,Photocopy Center,12,3199785,2145037,0.33,3869062,215713,11878229,12,737,2,90,No,0.98,15.0,Expansion,63,Sole Proprietorship,Declining,High,VisionFund,13,1544169.77,13659963.35,-237564.58
Musanze,Muhoza,Muhoza Centre,Peri-Urban,4,3,4,Manufacturing,Metal Works,10,3748337,3300919,0.12,8414018,1967774,13030970,36,698,5,73,No,0.49,12.5,Equipment Purchase,99,Cooperative,Mature,High,VisionFund,31,4039600.7,14659841.25,2410729.45
Huye,Ngoma,Ngoma Centre,Peri-Urban,4,1,4,Retail,Food Market,19,1576561,1073727,0.32,9800688,1555327,4601803,6,629,2,26,Yes,0.74,14.0,Equipment Purchase,94,Partnership,Declining,High,SACCO,20,920360.6,5246055.42,276108.18
Musanze,Muhoza,Ruhengeri,Peri-Urban,6,4,8,Manufacturing,Soap Making,11,4390592,4118396,0.06,440950,701640,2013030,12,367,2,46,Yes,-0.28,14.0,Tech Adoption,37,Partnership,Growth,Low,BRD,11,221433.3,2294854.2,-60390.9
Kigali,Nyarugenge,Kimisagara,Urban,4,4,6,Automotive,Car Wash,2,1416058,563919,0.6,1716577,273952,7656316,12,591,0,26,Yes,0.01,12.5,Expansion,10,Partnership,Mature,High,VisionFund,16,1225010.56,8613355.5,267971.06
Kigali,Gasabo,Remera,Urban,6,8,7,Services,Internet Cafe,8,4096919,2201944,0.46,1957039,1799129,18031481,36,739,1,82,Yes,0.95,13.0,Tech Adoption,90,Sole Proprietorship,Declining,Low,Bank of Kigali,23,4147240.63,20375573.53,1803148.1
Musanze,Muhoza,Muhoza Centre,Peri-Urban,6,1,8,Retail,Food Market,12,1243166,596731,0.52,8340753,635389,8631696,24,580,5,86,Yes,-0.56,13.0,Inventory,94,Partnership,Growth,Medium,BRD,45,3884263.2,9753816.48,2762142.72
Nyagatare,Rukomo,Rukomo II,Rural,4,8,9,Services,Internet Cafe,19,934728,130163,0.86,3827433,1873870,10023806,18,497,1,34,No,0.55,15.0,Equipment Purchase,60,Partnership,Declining,High,VisionFund,42,4209998.52,11527376.9,2706427.62
Nyagatare,Rukomo,Rukomo I,Rural,6,10,9,Agriculture,Bee Keeping,19,1460022,1267378,0.13,7376327,1043666,19375458,24,534,3,98,Yes,0.51,12.5,Equipment Purchase,48,Partnership,Declining,High,VisionFund,9,1743791.22,21797390.25,-678141.03
Nyagatare,Rukomo,Rukomo I,Rural,10,4,3,Services,Internet Cafe,14,1863712,996815,0.47,9473214,598747,1332240,18,677,2,100,Yes,0.63,13.0,Inventory,98,Sole Proprietorship,Growth,Low,BRD,13,173191.2,1505431.2,0.0
Huye,Ngoma,Butare,Peri-Urban,8,4,3,Manufacturing,Furniture Making,10,4331515,772218,0.82,5052854,168216,8271764,36,463,5,100,Yes,0.87,14.0,Tech Adoption,94,Cooperative,Early Stage,High,VisionFund,13,1075329.32,9429810.96,-82717.64
Nyagatare,Karangazi,Karangazi Centre,Rural,8,4,5,Services,Salon,6,2221847,377717,0.83,574933,1023468,3370399,36,691,5,46,No,-0.85,14.0,Equipment Purchase,15,Sole Proprietorship,Mature,Medium,VisionFund,42,1415567.58,3842254.86,943711.72
Nyagatare,Rukomo,Rukomo II,Rural,8,5,8,Retail,Mini Supermarket,9,2986724,771395,0.74,9765019,1997039,12964624,36,473,1,6,Yes,0.98,12.5,Tech Adoption,28,Partnership,Declining,Medium,BRD,38,4926557.12,14585202.0,3305979.12
Kigali,Kicukiro,Gatenga,Urban,9,4,7,Automotive,Tire Center,1,1591958,453898,0.71,717043,452171,7916166,36,706,3,59,Yes,0.19,13.0,Equipment Purchase,14,Cooperative,Early Stage,Low,BRD,43,3403951.38,8945267.58,2374849.8
Kigali,Gasabo,Kimironko,Urban,9,3,7,Automotive,Garage Services,3,2532293,2439546,0.04,6051711,634833,4216827,18,377,0,27,No,0.59,13.0,Inventory,89,Sole Proprietorship,Growth,Medium,BRD,34,1433721.18,4765014.51,885533.67
Nyagatare,Karangazi,Karangazi Centre,Rural,5,5,5,Retail,Electronics Store,4,3794302,1216175,0.68,9187453,886957,9915925,24,615,5,9,Yes,0.05,13.0,Tech Adoption,21,Cooperative,Early Stage,Low,BRD,18,1784866.5,11204995.25,495796.25
Rubavu,Kanama,Nyundo,Urban,5,3,3,Services,Internet Cafe,2,4357883,1075629,0.75,579861,1128907,19855620,12,709,3,60,Yes,-0.81,12.5,Equipment Purchase,93,Sole Proprietorship,Early Stage,High,SACCO,14,2779786.8,22337572.5,297834.3
Nyagatare,Karangazi,Karangazi Centre,Rural,7,2,3,Services,Salon,4,549598,71573,0.87,3813502,461722,2328909,18,702,3,68,No,-0.72,13.0,Expansion,17,Partnership,Early Stage,Low,BRD,7,163023.63,2631667.17,-139734.54
Kigali,Kicukiro,Gatenga,Urban,5,10,3,Agriculture,Pig Farming,13,4837313,2268440,0.53,2565302,438508,385734,36,300,3,77,No,0.67,14.0,Tech Adoption,78,Sole Proprietorship,Declining,Medium,Equity Bank,47,181294.98,439736.76,127292.22
